"","FPN_dlPFC","FPN_PPC","FPN_dACC_preSMA","DMN_mPFC","DMN_PCC_Precuneus","DMN_IPL","DMN_MTL","SN_AnteriorInsula","SN_ACC"
"FPN_dlPFC",0.91296527955487,0,0.0247700964142784,0,0,0.0220027425367143,-0.0160887049729806,0,0.0425485169828057
"FPN_PPC",0,0.946868697690892,0,0.0273641240239742,0,0,0,0.0292861978641983,0.0144395184636137
"FPN_dACC_preSMA",-0.0599484413894297,-0.00350709454201258,0.933747126855704,0,0,0.00504643611312373,0.00473897533183308,0,0
"DMN_mPFC",-0.0467487404734185,-0.0122974307374882,0.0449815694220286,0.894494282944903,0,0.0461098405563182,0,0,0.00123828777867085
"DMN_PCC_Precuneus",-0.00353622736702929,0,0,0.0249452432759087,0.931138965627186,0,0.016968089121136,0,0.0187613810715213
"DMN_IPL",0.00744175174814254,0.00338476169966046,0,0.0522918026632288,0,0.881598278802008,0.00154622020843077,0,0
"DMN_MTL",0,0,0,0.0188867392637203,-0.0255898446201953,0,0.931256019363303,0,0
"SN_AnteriorInsula",0,-0.0216778119429586,0.0101086364821029,0,-0.0444091258320836,0,-0.0135583365718398,0.893072687350021,0
"SN_ACC",-0.0363174548524191,-0.0107393460072476,0.0478899822154343,0,-0.0163632783155291,0.00445432365744618,0.00975555554691081,0.0142153828973974,0.878814538477736
