"","FPN_dlPFC","FPN_PPC","FPN_dACC_preSMA","DMN_mPFC","DMN_PCC_Precuneus","DMN_IPL","DMN_MTL","SN_AnteriorInsula","SN_ACC"
"FPN_dlPFC",0,0,0,0,0,0,0,-0.0197453384230276,0
"FPN_PPC",0,0,0,0,0,0,0,0,0
"FPN_dACC_preSMA",0,0,0,0,0,0.00919901894074564,0,0,0
"DMN_mPFC",0,0,0,0,0,0,0,-0.0266962379989193,0
"DMN_PCC_Precuneus",0,0,0,0,0,0,0,0,0
"DMN_IPL",0,0,0,0,0,0,0,-0.00636126299737398,0
"DMN_MTL",0,0,-0.00304605416093036,0,0,0,0,0,0
"SN_AnteriorInsula",0,0,0,0,0,0.0132043930455979,0,0,0
"SN_ACC",0,0,0,0,0,0,0.00206738352423664,0,0
